,text,final_label,tokenized,stopword_remove,steming_data
0,the only problem i actually counted the amount in the box there were only in the box not,Neutral,"['the', 'only', 'problem', 'i', 'actually', 'counted', 'the', 'amount', 'in', 'the', 'box', 'there', 'were', 'only', 'in', 'the', 'box', 'not']","['problem', 'actually', 'counted', 'amount', 'box', 'box']","['problem', 'actual', 'count', 'amount', 'box', 'box']"
1,me and my wife and my kids love them,Positive,"['me', 'and', 'my', 'wife', 'and', 'my', 'kids', 'love', 'them']","['wife', 'kids', 'love']","['wife', 'kid', 'love']"
2,definitely one of the best candies you can buy for selling at school first of all they don t melt while in a backpack for hours second of all you can make an profit margin by selling airheads for and last of all i sold all airheads in just days,Positive,"['definitely', 'one', 'of', 'the', 'best', 'candies', 'you', 'can', 'buy', 'for', 'selling', 'at', 'school', 'first', 'of', 'all', 'they', 'don', 't', 'melt', 'while', 'in', 'a', 'backpack', 'for', 'hours', 'second', 'of', 'all', 'you', 'can', 'make', 'an', 'profit', 'margin', 'by', 'selling', 'airheads', 'for', 'and', 'last', 'of', 'all', 'i', 'sold', 'all', 'airheads', 'in', 'just', 'days']","['definitely', 'one', 'best', 'candies', 'buy', 'selling', 'school', 'first', 'melt', 'backpack', 'hours', 'second', 'make', 'profit', 'margin', 'selling', 'airheads', 'last', 'sold', 'airheads', 'days']","['definit', 'one', 'best', 'candi', 'buy', 'sell', 'school', 'first', 'melt', 'backpack', 'hour', 'second', 'make', 'profit', 'margin', 'sell', 'airhead', 'last', 'sold', 'airhead', 'day']"
3,the price is great but there are mostly grape and orange flavors in the box,Positive,"['the', 'price', 'is', 'great', 'but', 'there', 'are', 'mostly', 'grape', 'and', 'orange', 'flavors', 'in', 'the', 'box']","['price', 'great', 'mostly', 'grape', 'orange', 'flavors', 'box']","['price', 'great', 'mostli', 'grape', 'orang', 'flavor', 'box']"
4,box and packaging in great shape kids love them,Positive,"['box', 'and', 'packaging', 'in', 'great', 'shape', 'kids', 'love', 'them']","['box', 'packaging', 'great', 'shape', 'kids', 'love']","['box', 'packag', 'great', 'shape', 'kid', 'love']"
5,good price,Positive,"['good', 'price']","['good', 'price']","['good', 'price']"
6,i bought these for my grandson who lives a few hours away from us and he loved them he asked me to send him some more there was alot of different flavors and that was the best part they are very affordable and will be sending more often,Positive,"['i', 'bought', 'these', 'for', 'my', 'grandson', 'who', 'lives', 'a', 'few', 'hours', 'away', 'from', 'us', 'and', 'he', 'loved', 'them', 'he', 'asked', 'me', 'to', 'send', 'him', 'some', 'more', 'there', 'was', 'alot', 'of', 'different', 'flavors', 'and', 'that', 'was', 'the', 'best', 'part', 'they', 'are', 'very', 'affordable', 'and', 'will', 'be', 'sending', 'more', 'often']","['bought', 'grandson', 'lives', 'hours', 'away', 'us', 'loved', 'asked', 'send', 'alot', 'different', 'flavors', 'best', 'part', 'affordable', 'sending', 'often']","['bought', 'grandson', 'live', 'hour', 'away', 'us', 'love', 'ask', 'send', 'alot', 'differ', 'flavor', 'best', 'part', 'afford', 'send', 'often']"
7,i wasn t just a regular mom after i made this purchase i was a cool mom seriously my kiddos were so thrilled and lots of bribery followed,Positive,"['i', 'wasn', 't', 'just', 'a', 'regular', 'mom', 'after', 'i', 'made', 'this', 'purchase', 'i', 'was', 'a', 'cool', 'mom', 'seriously', 'my', 'kiddos', 'were', 'so', 'thrilled', 'and', 'lots', 'of', 'bribery', 'followed']","['regular', 'mom', 'made', 'purchase', 'cool', 'mom', 'seriously', 'kiddos', 'thrilled', 'lots', 'bribery', 'followed']","['regular', 'mom', 'made', 'purchas', 'cool', 'mom', 'serious', 'kiddo', 'thrill', 'lot', 'briberi', 'follow']"
8,satisfies my craving to bite people,Neutral,"['satisfies', 'my', 'craving', 'to', 'bite', 'people']","['satisfies', 'craving', 'bite', 'people']","['satisfi', 'crave', 'bite', 'peopl']"
9,this product was perfect to provide treats for my students,Positive,"['this', 'product', 'was', 'perfect', 'to', 'provide', 'treats', 'for', 'my', 'students']","['product', 'perfect', 'provide', 'treats', 'students']","['product', 'perfect', 'provid', 'treat', 'student']"
