review,score,cleaning,baku,slang_replaced
"The only problem, I actually counted the amount in the box. There were only 59 in the box, not 60",4,the only problem  i actually counted the amount in the box  there were only  in the box  not ,the only problem i actually counted the amount in the box there were only in the box not,[]
Me and my wife and my kids love them,5,me and my wife and my kids love them,me and my wife and my kids love them,[]
Definitely one of the best candies you can buy for selling at school. First of all they don't melt while in a backpack for hours. Second of all you can make an 80% profit margin by selling 2 airheads for $1. And last of all I sold all 60 airheads in just 4 days!,5,definitely one of the best candies you can buy for selling at school  first of all they don t melt while in a backpack for hours  second of all you can make an   profit margin by selling  airheads for    and last of all i sold all  airheads in just  days ,definitely one of the best candies you can buy for selling at school first of all they don t melt while in a backpack for hours second of all you can make an profit margin by selling airheads for and last of all i sold all airheads in just days,[]
"The price is great, but there are mostly grape and orange flavors in the box.",3,the price is great  but there are mostly grape and orange flavors in the box ,the price is great but there are mostly grape and orange flavors in the box,[]
"Box and packaging in great shape, kids love them.",5,box and packaging in great shape  kids love them ,box and packaging in great shape kids love them,[]
Good price,5,good price,good price,[]
I bought these for my grandson who lives a few hours away from us.and he loved them. He asked me to send him some more. There was alot of different flavors and that was the best part. They are very affordable and will be sending more often.,5,i bought these for my grandson who lives a few hours away from us and he loved them  he asked me to send him some more  there was alot of different flavors and that was the best part  they are very affordable and will be sending more often ,i bought these for my grandson who lives a few hours away from us and he loved them he asked me to send him some more there was alot of different flavors and that was the best part they are very affordable and will be sending more often,[]
"I wasn't just a regular mom after I made this purchase....I was a COOL MOM ðŸ˜‚ Seriously, my kiddos were so thrilled and lots of bribery followed.",5,i wasn t just a regular mom after i made this purchase    i was a cool mom      seriously  my kiddos were so thrilled and lots of bribery followed ,i wasn t just a regular mom after i made this purchase i was a cool mom seriously my kiddos were so thrilled and lots of bribery followed,[]
Satisfies my craving to bite people,5,satisfies my craving to bite people,satisfies my craving to bite people,[]
This product was perfect to provide treats for my students!,5,this product was perfect to provide treats for my students ,this product was perfect to provide treats for my students,[]
"They arenâ€™t very soft, but taste good.",4,they aren   t very soft  but taste good ,they aren t very soft but taste good,[]
"I have always LOVED these! As much as my kids. I've included them in care packages for the homeless, as well. I am DONE with these after buying enough of these large boxes of ASSORTED FRUIT flavor snacks, o ly to throw away 75% if them because I cannot stand the CARROT flavored ones, and I'm sorry but I guess I missed the part in nutrition class about carrot being a fruit. Wow. This is unacceptable and I want so much money back.",2,i have always loved these  as much as my kids  i ve included them in care packages for the homeless  as well  i am done with these after buying enough of these large boxes of assorted fruit flavor snacks  o ly to throw away   if them because i cannot stand the carrot flavored ones  and i m sorry but i guess i missed the part in nutrition class about carrot being a fruit  wow  this is unacceptable and i want so much money back ,i have always loved these as much as my kids i ve included them in care packages for the homeless as well i am done with these after buying enough of these large boxes of assorted fruit flavor snacks o ly to throw away if them because i cannot stand the carrot flavored ones and i m sorry but i guess i missed the part in nutrition class about carrot being a fruit wow this is unacceptable and i want so much money back,[]
"These are so much more healthy than reaching for candy when you want something sweet. They aren't sweet though, just flavorful.",5,these are so much more healthy than reaching for candy when you want something sweet  they aren t sweet though  just flavorful ,these are so much more healthy than reaching for candy when you want something sweet they aren t sweet though just flavorful,[]
"Kids love them, everyone loves them.  Always tasty and don't taste artificial like some brands.  You would be able to tell the difference in a blind fold test!",5,kids love them  everyone loves them   always tasty and don t taste artificial like some brands   you would be able to tell the difference in a blind fold test ,kids love them everyone loves them always tasty and don t taste artificial like some brands you would be able to tell the difference in a blind fold test,[]
Grab and go for the summer ball games.,5,grab and go for the summer ball games ,grab and go for the summer ball games,[]
"they really are very flavorful and the portions are great.i like to keep something with me at all times just in case of a sugar 'crash', and these are perfect for it.",5,they really are very flavorful and the portions are great i like to keep something with me at all times just in case of a sugar  crash   and these are perfect for it ,they really are very flavorful and the portions are great i like to keep something with me at all times just in case of a sugar crash and these are perfect for it,[]
My family loves these.  The fruit snacks are very fresh - soft with great flavors and not stuck together.  The portion sizes are perfect too.,5,my family loves these   the fruit snacks are very fresh   soft with great flavors and not stuck together   the portion sizes are perfect too ,my family loves these the fruit snacks are very fresh soft with great flavors and not stuck together the portion sizes are perfect too,[]
"Big and cheap, no complaints, and as expected flavor, same as the store.",5,big and cheap  no complaints  and as expected flavor  same as the store ,big and cheap no complaints and as expected flavor same as the store,[]
Fresh tasting. Soft and chewy.,5,fresh tasting  soft and chewy ,fresh tasting soft and chewy,[]
Good treat,5,good treat,good treat,[]
Stale chips and no air in the bags and only a partial refund donâ€™t buy!!,1,stale chips and no air in the bags and only a partial refund don   t buy  ,stale chips and no air in the bags and only a partial refund don t buy,[]
