Halaman,Nama Produk,Harga,Label Produk,Jenis Penyedia,Lokasi,Jumlah Terjual,Kategori,Status Produk,URL
1,LAMPU PENERANGAN JALAN UMUM,"Rp 13.737.364,00",PDN,UMKK,Kota Adm. Jakarta Barat,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik-cerdas-inovasi/lampu-penerangan-jalan-umum
1,LAMPU PENERANGAN JALAN UMUM,"Rp 13.737.364,00",PDN,UMKK,Kota Tangerang,0,Barang,Aktif,https://katalog.inaproc.id/cv-mulia-berkahtama-abadi/lampu-penerangan-jalan-umum
1,LAMPU PENERANGAN JALAN UMUM,"Rp 13.737.364,00",PDN,UMKK,Kota Tangerang,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik/lampu-penerangan-jalan-umum
1,LAMPU PENERANGAN JALAN UMUM,"Rp 13.737.364,00",PDN,UMKK,Kota Balikpapan,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik-tanjung-pura/lampu-penerangan-jalan-umum
1,LAMPU PENERANGAN JALAN UMUM,"Rp 13.737.364,00",PDN,UMKK,Kab. Bandung,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik-global/lampu-penerangan-jalan-umum
1,LAMPU PENERANGAN JALAN UMUM,"Rp 13.737.364,00",PDN,UMKK,Kota Surabaya,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik-suroboyo-mandiri/lampu-penerangan-jalan-umum
1,LAMPU PENERANGAN JALAN UMUM,"Rp 13.737.364,00",PDN,UMKK,Kab. Semarang,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik-ageng-pradiksa/lampu-penerangan-jalan-umum
1,LAMPU PENERANGAN JALAN UMUM,"Rp 13.737.364,00",PDN,UMKK,Kota Medan,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik-medan-jaya/lampu-penerangan-jalan-umum
1,LAMPU PENERANGAN JALAN UMUM,"Rp 13.737.364,00",PDN,UMKK,Kota Tangerang,0,Barang,Aktif,https://katalog.inaproc.id/san-amerta-romora/lampu-penerangan-jalan-umum
1,LAMPU PENERANGAN JALAN UMUM,"Rp 13.875.000,00",PDN,UMKK,Kota Tanjung Pinang,56,Barang,Aktif,https://katalog.inaproc.id/bintan-muda-sukses/lampu-penerangan-jalan-umum
1,ALAT PENERANGAN JALAN UMUM,"Rp 49.950.000,00",PDN,UMKK,Kota Makassar,0,Barang,Aktif,https://katalog.inaproc.id/rancang-energi-nusantara/alat-penerangan-jalan-umum
1,PEMELIHARAAN PENERANGAN JALAN UMUM,"Rp 177.600.000,00",PDN,UMKK,Kota Palu,0,Barang,Aktif,https://katalog.inaproc.id/virgo-putra-mandiri/pemeliharaan-penerangan-jalan-umum
1,Penerangan Jalan Umum (PJU),"Rp 16.872.000,00",PDN,UMKK,Kota Adm. Jakarta Selatan,0,Barang,Pre Order,https://katalog.inaproc.id/karya-cipta-guna-utama/penerangan-jalan-umum-pju
1,Lampu Penerangan Jalan Umum,"Rp 111.000.000,00",PDN,UMKK,Kab. Barito Utara,0,Barang,Aktif,https://katalog.inaproc.id/harapan-muda-borneo/lampu-penerangan-jalan-umum
1,Penerangan Jalan Umum,"Rp 55.000.001,00",PDN,UMKK,Kota Bandung,0,Barang,Aktif,https://katalog.inaproc.id/bagaskoro-mulia-barokah/penerangan-jalan-umum
1,Penerangan Jalan Umum Konvensional (90w),"Rp 2,00",PDN,,Kota Medan,0,Barang,Aktif,https://katalog.inaproc.id/adzkia-putri-lestari/penerangan-jalan-umum-konvensional-90w
1,Lampu LED Penerangan Jalan Umum 90 Watt,"Rp 4.301.250,00",PDN,UMKK,Kota Tangerang,0,Barang,Aktif,https://katalog.inaproc.id/san-amerta-romora/lampu-led-penerangan-jalan-umum-90-watt
1,Lampu LED Penerangan Jalan Umum 90 Watt,"Rp 4.301.250,00",PDN,UMKK,Kab. Semarang,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik-ageng-pradiksa/lampu-led-penerangan-jalan-umum-90-watt
1,Penerangan Jalan Umum Konvensional (70w),"Rp 2,00",PDN,,Kota Medan,0,Barang,Aktif,https://katalog.inaproc.id/adzkia-putri-lestari/penerangan-jalan-umum-konvensional-70w
1,Lampu LED Penerangan Jalan Umum 90 Watt,"Rp 4.301.250,00",PDN,UMKK,Kota Tangerang,0,Barang,Aktif,https://katalog.inaproc.id/cv-mulia-berkahtama-abadi/lampu-led-penerangan-jalan-umum-90-watt
1,Lampu LED Penerangan Jalan Umum 90 Watt,"Rp 4.301.250,00",PDN,UMKK,Kota Medan,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik-medan-jaya/lampu-led-penerangan-jalan-umum-90-watt
1,Lampu LED Penerangan Jalan Umum 90 Watt,"Rp 4.301.250,00",PDN,UMKK,Kab. Bandung,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik-global/lampu-led-penerangan-jalan-umum-90-watt
1,Lampu LED Penerangan Jalan Umum 90 Watt,"Rp 4.301.250,00",PDN,UMKK,Kota Tangerang,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik/lampu-led-penerangan-jalan-umum-90-watt
1,Penerangan Jalan Umum (PJU) 2x90w,"Rp 25.925.467,00",PDN,UMKK,Kota Palu,0,Barang,Pre Order,https://katalog.inaproc.id/wenang-perkasa-abadi/penerangan-jalan-umum-pju-2x90w
1,Penerangan Jalan Umum,"Rp 55.000.001,00",PDN,,Kota Bogor,0,Barang,Aktif,https://katalog.inaproc.id/pt-sarana-edukarya-ndonesia/penerangan-jalan-umum
1,PENERANGAN JALAN UMUM,"Rp 19.980.000,00",PDN,UMKK,Kota Bandung,0,Barang,Aktif,https://katalog.inaproc.id/zona-multi-kreasindo/penerangan-jalan-umum
1,LAMPU PENERANGAN JALAN UMUM,"Rp 13.737.363,00",PDN,UMKK,Kota Depok,0,Barang,Aktif,https://katalog.inaproc.id/pt-sinar-utama-nusaraya/lampu-penerangan-jalan-umum
1,Penerangan Jalan Umum Dekoratif dan Pedestrian,"Rp 67.099.500,00",PDN,UMKK,Kota Bandung,0,Barang,Aktif,https://katalog.inaproc.id/energi-indo-tera/penerangan-jalan-umum-dekoratif-dan-pedestrian
1,Penerangan Jalan Umum Dekoratif dan Pedestrian,"Rp 74.480.445,00",PDN,UMKK,Kota Tangerang,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik/penerangan-jalan-umum-dekoratif-dan-pedestrian
1,Penerangan Jalan Umum Dekoratif dan Pedestrian,"Rp 74.480.445,00",PDN,UMKK,Kota Tangerang,0,Barang,Aktif,https://katalog.inaproc.id/san-amerta-romora/penerangan-jalan-umum-dekoratif-dan-pedestrian
1,ALAT PENERANGAN JALAN UMUM 60 WATT,"Rp 4.023.750,00",PDN,UMKK,Kab. Wonosobo,0,Barang,Aktif,https://katalog.inaproc.id/cahaya-nusantara-abadi/alat-penerangan-jalan-umum-60-watt
1,Penerangan Jalan Umum Tenaga Surya (PJUTS),"Rp 33.750.000,00",PDN,UMKK,Kota Samarinda,0,Barang,Aktif,https://katalog.inaproc.id/pelita-karya/penerangan-jalan-umum-tenaga-surya-pjuts
1,LAMPU LED PENERANGAN JALAN UMUM 60W,"Rp 5.300.000,00",PDN,,Kota Pekanbaru,0,Barang,Pre Order,https://katalog.inaproc.id/rajawali-perkasa-bvcu/lampu-led-penerangan-jalan-umum-60w
1,Pembangunan Penerangan Jalan Umum Pipa Galvanis,"Rp 16.372.500,00",PDN,UMKK,Kab. Sukabumi,0,Barang,Aktif,https://katalog.inaproc.id/dbest-kreasindo-utama-ffky/pembangunan-penerangan-jalan-umum-pipa-galvanis
1,Penerangan Jalan Umum Dekoratif dan Pedestrian,"Rp 74.480.445,00",PDN,UMKK,Kab. Semarang,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik-ageng-pradiksa/penerangan-jalan-umum-dekoratif-dan-pedestrian
1,Penerangan Jalan Umum Dekoratif dan Pedestrian,"Rp 74.480.445,00",PDN,UMKK,Kota Tangerang,0,Barang,Aktif,https://katalog.inaproc.id/cv-mulia-berkahtama-abadi/penerangan-jalan-umum-dekoratif-dan-pedestrian
1,Penerangan Jalan Umum Tenaga Surya (PJUTS),"Rp 37.462.500,00",PDN,UMKK,Kota Tangerang,0,Barang,Aktif,https://katalog.inaproc.id/cv-mulia-berkahtama-abadi/penerangan-jalan-umum-tenaga-surya-pjuts
1,Penerangan Jalan Umum Tenaga Surya (PJUTS),"Rp 37.462.500,00",PDN,UMKK,Kota Surabaya,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik-suroboyo-mandiri/penerangan-jalan-umum-tenaga-surya-pjuts
1,Penerangan Jalan Umum Tenaga Surya (PJUTS),"Rp 33.750.000,00",PDN,UMKK,Kota Samarinda,0,Barang,Aktif,https://katalog.inaproc.id/win-abadi/penerangan-jalan-umum-tenaga-surya-pjuts
1,Penerangan Jalan Umum Tenaga Surya (PJUTS),"Rp 37.462.500,00",PDN,UMKK,Kota Tangerang,0,Barang,Aktif,https://katalog.inaproc.id/san-amerta-romora/penerangan-jalan-umum-tenaga-surya-pjuts
1,BOX PANEL INDUK (PHB) PENERANGAN JALAN UMUM,"Rp 18.300.001,00",PDN,UMKK,Kota Surabaya,0,Barang,Pre Order,https://katalog.inaproc.id/surya-bima-sakti-cemerlang/box-panel-induk-phb-penerangan-jalan-umum
1,Penerangan Jalan Umum,"Rp 54.890.001,00",PDN,UMKK,Kota Tangerang,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik/penerangan-jalan-umum
1,Penerangan Jalan Umum,"Rp 54.890.001,00",PDN,UMKK,Kota Surabaya,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik-suroboyo-mandiri/penerangan-jalan-umum
1,Penerangan Jalan Umum,"Rp 54.890.001,00",PDN,UMKK,Kab. Semarang,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik-ageng-pradiksa/penerangan-jalan-umum
1,Penerangan Jalan Umum,"Rp 54.890.001,00",PDN,UMKK,Kab. Bandung,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik-global/penerangan-jalan-umum
1,BOX PANEL INDUK (PHB) PENERANGAN JALAN UMUM,"Rp 20.313.001,00",PDN,UMKK,Kota Tangerang,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik/box-panel-induk-phb-penerangan-jalan-umum
1,BOX PANEL INDUK (PHB) PENERANGAN JALAN UMUM,"Rp 20.313.001,00",PDN,UMKK,Kota Surabaya,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik-suroboyo-mandiri/box-panel-induk-phb-penerangan-jalan-umum
1,BOX PANEL INDUK (PHB) PENERANGAN JALAN UMUM,"Rp 20.313.001,00",PDN,UMKK,Kota Tangerang,0,Barang,Aktif,https://katalog.inaproc.id/cv-mulia-berkahtama-abadi/box-panel-induk-phb-penerangan-jalan-umum
1,Lampu Penerangan Jalan Umum (PJU),"Rp 962.579,00",PDN,UMKK,Kota Medan,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik-medan-jaya/lampu-penerangan-jalan-umum-pju
1,Lampu Penerangan Jalan Umum (PJU),"Rp 962.579,00",PDN,UMKK,Kota Tangerang,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik/lampu-penerangan-jalan-umum-pju
1,Lampu Penerangan Jalan Umum 60 Watt,"Rp 29.930.357,00",PDN,UMKK,Kota Tangerang,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik/lampu-penerangan-jalan-umum-60-watt
1,Lampu Penerangan Jalan Umum 60 Watt,"Rp 29.930.357,00",PDN,UMKK,Kab. Semarang,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik-ageng-pradiksa/lampu-penerangan-jalan-umum-60-watt
1,Lampu Penerangan Jalan Umum 60 Watt,"Rp 29.930.357,00",PDN,UMKK,Kab. Tangerang,0,Barang,Aktif,https://katalog.inaproc.id/tamaro-nusantara/lampu-penerangan-jalan-umum-60-watt
1,BOX PANEL PEMBAGI (PHB) PENERANGAN JALAN UMUM,"Rp 5.439.001,00",PDN,UMKK,Kota Surabaya,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik-suroboyo-mandiri/box-panel-pembagi-phb-penerangan-jalan-umum
1,BOX PANEL PEMBAGI (PHB) PENERANGAN JALAN UMUM,"Rp 5.439.001,00",PDN,UMKK,Kota Tangerang,0,Barang,Aktif,https://katalog.inaproc.id/cv-mulia-berkahtama-abadi/box-panel-pembagi-phb-penerangan-jalan-umum
1,BOX PANEL PEMBAGI (PHB) PENERANGAN JALAN UMUM,"Rp 5.439.001,00",PDN,UMKK,Kota Tangerang,0,Barang,Aktif,https://katalog.inaproc.id/san-amerta-romora/box-panel-pembagi-phb-penerangan-jalan-umum
1,BOX PANEL PEMBAGI (PHB) PENERANGAN JALAN UMUM,"Rp 5.439.001,00",PDN,UMKK,Kab. Bandung,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik-global/box-panel-pembagi-phb-penerangan-jalan-umum
1,Penerangan Jalan Umum,"Rp 54.890.001,00",PDN,UMKK,Kota Adm. Jakarta Barat,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik-cerdas-inovasi/penerangan-jalan-umum
1,Penerangan Jalan Umum,"Rp 54.890.001,00",PDN,UMKK,Kota Balikpapan,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik-tanjung-pura/penerangan-jalan-umum
1,Penerangan Jalan Umum,"Rp 54.890.001,00",PDN,UMKK,Kota Medan,0,Barang,Aktif,https://katalog.inaproc.id/solusi-klik-medan-jaya/penerangan-jalan-umum
2,TIANG PJU (PENERANGAN JALAN UMUM),"Rp 7.215.000,00",PDN,UMKK,Kota Semarang,0,Barang,Aktif,https://katalog.inaproc.id/tajako-abadi-sejahtera-group/tiang-pju-penerangan-jalan-umum
